filename	acq_time	operator	randstr
func/sub-qa_ses-20180531_task-rest_acq-p2_bold.nii.gz	2018-05-31T08:49:28	n/a	%k*95S^P
func/sub-qa_ses-20180531_task-rest_acq-p2Xs4X35mm_bold.nii.gz	2018-05-31T08:56:28	n/a	}.NTK682
dwi/sub-qa_ses-20180531_acq-DTIX30Xp2_dwi.nii.gz	2018-05-31T09:03:09	n/a	DB:8?IjW
dwi/sub-qa_ses-20180531_acq-DTIX30Xp2Xs4_dwi.nii.gz	2018-05-31T09:07:28	n/a	<!xqlBZP
anat/sub-qa_ses-20180531_acq-MPRAGE_T1w.nii.gz	2018-05-31T09:14:38	n/a	67b0cu>1
func/sub-qa_ses-20180531_task-rest_acq-p22_bold.nii.gz	2018-05-31T09:15:28	n/a	{JV;BU(n
