filename	acq_time	operator	randstr
func/sub-qa_ses-20181015_task-rest_acq-p2_bold.nii.gz	2018-10-15T09:51:01	n/a	X=w'jV&*
func/sub-qa_ses-20181015_task-rest_acq-p2Xs4X35mm_bold.nii.gz	2018-10-15T09:58:01	n/a	:o0C<f}B
dwi/sub-qa_ses-20181015_acq-DTIX30Xp2_dwi.nii.gz	2018-10-15T10:12:22	n/a	#P~[&7>K
dwi/sub-qa_ses-20181015_acq-DTIX30Xp2Xs4_dwi.nii.gz	2018-10-15T10:16:41	n/a	,uaDi&_O
anat/sub-qa_ses-20181015_acq-MPRAGE_T1w.nii.gz	2018-10-15T10:23:54	n/a	OUm:F{D^
dwi/sub-qa_ses-20181015_acq-topupXAPXPA_dwi.nii.gz	2018-10-15T10:40:32	n/a	fI9XYaSd
