filename	acq_time	operator	randstr
func/sub-qa_ses-20180305_task-rest_acq-p2_bold.nii.gz	2018-03-05T09:07:52	n/a	uyA4BciH
func/sub-qa_ses-20180305_task-rest_acq-p2Xs4X35mm_bold.nii.gz	2018-03-05T09:14:52	n/a	4E,sIPa]
dwi/sub-qa_ses-20180305_acq-DTIX30Xp2_dwi.nii.gz	2018-03-05T09:21:32	n/a	>hafGX;-
dwi/sub-qa_ses-20180305_acq-DTIX30Xp2Xs4_dwi.nii.gz	2018-03-05T09:25:50	n/a	8YT(SpZ9
anat/sub-qa_ses-20180305_acq-MPRAGE_T1w.nii.gz	2018-03-05T09:51:32	n/a	/Vu&$X06
func/sub-qa_ses-20180305_task-rest_acq-p2XB0shimXadvanced_bold.nii.gz	2018-03-05T09:53:32	n/a	U?7}wx$O
